Requisito,,,,,,Descrição,,,,,,,,,,,,,,,,Classificação,,,Tamanho,,Tam(#),,Prioridade,,Sprint,
Coletar dados do Arduino e inserir no MySQL (VMLinux),,,,,,Programar o Arduino para capturar dados dos sensores e armazená-los em um banco MySQL rodando em uma máquina virtual Linux.,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,2,
Analisar Contextualização,,,,,,"Estudar e definir o contexto do sistema, identificando o problema que ele resolve e o ambiente em que será aplicado.",,,,,,,,,,,,,,,,Essencial,,,P,,5,,,,2,
Atualizar Calculadora,,,,,,"Revisar e melhorar a calculadora do sistema, adicionando novas funções ou corrigindo cálculos já existentes.",,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,2,
Levantamento de Riscos,,,,,,"Identificar possíveis riscos do projeto (técnicos, operacionais) e definir formas de mitigá-los.",,,,,,,,,,,,,,,,Essencial,,,P,,5,,,,2,
Criar cadastro e login local,,,,,,Desenvolver sistema de autenticação simples (usuário/senha) armazenado localmente para validar ,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,2,
Desenvolver Diagrama de Solução,,,,,,Criar um diagrama arquitetural que mostre como os componentes do sistema se conectam e interagem.,,,,,,,,,,,,,,,,Essencial,,,G,,13,,,,2,
Projetar modelagem lógica V1 - Banco de Dados,,,,,,"Definir as tabelas, relacionamentos e atributos do banco de dados.",,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,2,
Aplicar API Local/Sensor ao projeto,,,,,,Integrar a API que faz a comunicação entre o sensor (Arduino) e o sistema.,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,2,
Aprender a utilizar a API Local/Sensor,,,,,,Estudar o funcionamento da API do sensor e entender como consumir os dados corretamente.,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,2,
Instalar MySQL na Virtual Machine,,,,,,Configurar o banco de dados MySQL dentro da máquina virtual para persistência dos dados.,,,,,,,,,,,,,,,,Essencial,,,PP,,3,,,,2,
Documentação do Projeto,,,,,,"Criar documentação clara sobre objetivos, requisitos, arquitetura e uso do sistema.",,,,,,,,,,,,,,,,Essencial,,,G,,13,,,,1,
Criar website institucional estático,,,,,,Desenvolver um site simples e estático para apresentar informações institucionais do projeto.,,,,,,,,,,,,,,,,Essencial,,,G,,13,,,,2,
Criar dashboard estática,,,,,,Montar um painel visual para exibir métricas e informações principais.,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,2,
Desenvolver Notificações e Alertas,,,,,,Implementar sistema que notifique ou alerte o usuário sobre eventos importantes do sistema.,,,,,,,,,,,,,,,,Importante,,,G ,,13,,,,3,
Cadastro de Estoque,,,,,,Criar funcionalidade para registrar produtos e quantidades no estoque.,,,,,,,,,,,,,,,,Essencial,,,P,,5,,,,2,
Criar Tabelas,,,,,,Construir as tabelas no banco de dados de acordo com a modelagem definida.,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,1,
Implementar Site Institucional,,,,,,"Colocar em prática o site institucional, aplicando layout  e conteúdo.",,,,,,,,,,,,,,,,Essencial,,,G ,,13,,,,3,
Desenvolver Cadastro de clientes,,,,,,Criar formulário e banco para registrar clientes no sistema.,,,,,,,,,,,,,,,,Essencial,,,G ,,13,,,,3,
Desenvolver Tela de Login,,,,,,Criar interface gráfica para login de usuários.,,,,,,,,,,,,,,,,Essencial,,,G,,13,,,,3,
Desenvolver Dashboard,,,,,,Implementar painel dinâmico para exibir dados do sistema em tempo real.,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,3,
Fazer protótipo do site Institucional,,,,,,Criar protótipo visual/navegável do site institucional antes da versão final.,,,,,,,,,,,,,,,,Essencial,,,PP,,3,,,,1,
Chamadas de API endereço,,,,,,Integrar API para buscar e validar dados do sensor,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,2,
Chamada de API Banco,,,,,,Integrar API relacionada a banco de dados/armazenar os dados do sensor,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,2,
Registrar dados do sensor no BD,,,,,,Gravar automaticamente no banco de dados todas as informações coletadas pelos sensores do Arduino.,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,2,
Atualização de dados,,,,,,Permitir a modificação e atualização de registros existentes no banco de dados de forma eficiente.,,,,,,,,,,,,,,,,Desejável,,,G,,13,,,,3,
Recuperação de senha,,,,,,"Implementar mecanismo que possibilite ao usuário redefinir a senha em caso de esquecimento, via e-mail ou outro método seguro.",,,,,,,,,,,,,,,,Desejável,,,G,,13,,,,3,
Calculadora Financeira,,,,,,Disponibilizar ferramenta de cálculo financeiro integrada ao sistema para apoiar decisões e análises,,,,,,,,,,,,,,,,Importante,,,M,,8,,,,1,
Tratamento de dados sensiveis,,,,,,"Aplicar técnicas de proteção e anonimização de dados pessoais e confidenciais, garantindo segurança e conformidade legal.",,,,,,,,,,,,,,,,Importante,,,P,,5,,,,3,
Senha forte,,,,,,"Criar validação para garantir que as senhas sigam padrões de segurança, incluindo comprimento mínimo e uso de caracteres especiais.",,,,,,,,,,,,,,,,Desejável,,,P,,5,,,,2,
Confirmação de senha,,,,,,Adicionar campo de confirmação de senha durante o cadastro para evitar erros de digitação.,,,,,,,,,,,,,,,,Desejável,,,PP,,3,,,,2,
Criptografia de senha,,,,,,Armazenar senhas de usuários no banco de dados utilizando algoritmos de criptografia/Hash,,,,,,,,,,,,,,,,Desejável,,,M,,8,,,,3,
Programar Placa Arduino unoR3,,,,,,Desenvolver código para coletar dados de sensores conectados à placa Arduino UNO R3 e integrá-los ao sistema.,,,,,,,,,,,,,,,,Importante,,,M,,8,,,,1,
Consulta de nivel de estoque,,,,,,Implementar funcionalidade que permita ao usuário verificar em tempo real o nivel de seu estoque.,,,,,,,,,,,,,,,,Desejável,,,M,,8,,,,3,
Acessibilidade no site,,,,,,"Garantir que o site seja acessível para pessoas com deficiência, seguindo boas práticas de usabilidade e normas de acessibilidade digital.",,,,,,,,,,,,,,,,Desejável,,,M,,8,,,,3,
Tempo de atualização,,,,,,Configurar intervalo de atualização automática para que os dados exibidos na dashboard ou no sistema estejam sempre atualizados.,,,,,,,,,,,,,,,,Essencial,,,GG,,21,,,,3,
Aprimorar script SQL local,,,,,,"Melhorar scripts SQL utilizados localmente, otimizando consultas, inserções e manutenções no banco de dados.",,,,,,,,,,,,,,,,Importante,,,M,,8,,,,2,
Analisar requisitos,,,,,,"Levantar, detalhar e documentar requisitos funcionais para orientar o desenvolvimento do sistema.",,,,,,,,,,,,,,,,Importante,,,G,,13,,,,1,
Criar e Configurar projeto no GitHub,,,,,,Realizar configuração do projeto na plataforma de gestão de projeto (Git Hub),,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,1,
Criar justificativa do Projeto,,,,,,Desenvolver justificativa do projeto,,,,,,,,,,,,,,,,Essencial,,,PP,,3,,,,1,
Desenvolver diagrama de visão de negócio,,,,,,Criar diagrama de visão de negócio,,,,,,,,,,,,,,,,Essencial,,,P,,5,,,,1,
"Configurar ferramenta de gestão de projeto (trello, GitHub)",,,,,,Configurar todo projejto nas ferramentas de gestão (trello/GitHub),,,,,,,,,,,,,,,,Essencial,,,P,,5,,,,1,
Tabelas criadas no MySQL - protótipo,,,,,,Criar e preencher databases do MySql,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,1,
Instalar Linux em VM local,,,,,,Configurar VM utilizando LUBUNTU,,,,,,,,,,,,,,,,Essencial,,,M,,8,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planejado,,Entregue,,Pendente,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,444,,250,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1,90,,90,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2,205,,160,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP3,149,,0,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
